venue	vintage	producer	cuvee	grape	region	origin	section	band	pours	pairs	flags	note
St Alma	2022	Loïc Mahé Savennières		Chenin Blanc	Loire Valley	FRA	Other whites	Mineral & complex	750:167	s,v		Citrus, peach and pear with beeswax, nuts and crushed rock; taut and saline, neutral oak and amphora raised.
St Alma	2024	Badenhorst	Secateurs	Chenin Blanc	Swartland	ZAF	Other whites	Mineral & complex	750:95	v		Faint smoke over crisp citrus and peach; broad, almost oily palate with old-vine presence and a long finish.
St Alma	2020	Vandal	Gonzo Militia	White Blend	Marlborough	NZ	Other whites	Mineral & complex	750:71	v		Co-fermented field blend led by Viognier and Pinot Gris; creamy peach and plum, lemony acidity, nutty barrel notes.
St Alma	2023	Brave New Wine	Pystopia		Great Southern	WA	Skin contact & orange		750:77	v		Skin-contact co-ferment; mandarin, rose petal and pickled ginger, zesty with a powdery grip.
St Alma	2025	Trutta		Pinot Gris	Faraday	VIC	Skin contact & orange		750:83	v		Grapefruit, guava and blood orange zest; ten days on skins gives savoury, gently grippy texture.
St Alma	2024	Domaine Christian Salmon Sancerre		Sauvignon Blanc	Loire Valley	FRA	Sauvignon Blanc & Semillon		750:137	s		Lemon, grapefruit and lime lifted by white flowers; crisp, mineral and unoaked with a zesty lime finish.
St Alma	2022	Domaine du Bouchot Pouilly Fumé		Sauvignon Blanc	Loire Valley	FRA	Sauvignon Blanc & Semillon		750:192	s,v		Smoky flint, green apple and white flowers; passionfruit and quince on a bright, lightly nutty palate, lees texture.
St Alma	2024	Catalina Sounds	Sound of White	Sauvignon Blanc	Marlborough	NZ	Sauvignon Blanc & Semillon		750:77	s,v		Citrus peel, stone fruit, flint and salted butter; nectarine and passionfruit, lees, mouth-watering acidity.
St Alma	2024	Vinden	Headcase	Semillon	Hunter Valley	NSW	Sauvignon Blanc & Semillon		750:83	s,v		Bright citrus with leesy spice; lemon, lime and wet stone, delicate texture and crackling acidity, mineral finish.
St Alma	2022	Eperosa	Magnolia 1941	Semillon	Barossa Valley	SA	Sauvignon Blanc & Semillon		750:109	s,v		Lemon and lime zest, crushed white flowers, briny mineral edge; waxy texture with dried citrus rind and almond.
St Alma	2023	Sabi Wabi	Sugi	Semillon	Hunter Valley	NSW	Sauvignon Blanc & Semillon		750:77	v		Grassy and honeyed; waxy rich palate with fennel root and roast celeriac. Wild ferment, skin contact, neutral oak.
St Alma	2022	Stéphane Brocard Chablis 1er Cru		Chardonnay	Burgundy	FRA	Chardonnay		750:197	s		White flowers and yellow orchard fruit; fresh, mineral and intensely fruited, steel-aged on lees, long chalky finish.
St Alma	2022	Domaine Rougeot Meursault		Chardonnay	Burgundy	FRA	Chardonnay		750:440	v		White flowers, almond and peach over fine minerality; barrel-fermented, generous, layered and gently textured.
St Alma	2023	Louis Jadot Pouilly Fuissé		Chardonnay	Burgundy	FRA	Chardonnay		750:230	v		Red apple, honey and white flowers; citrus and toasted nuts with gentle barrel-ferment roundness and clean length.
St Alma	2024	Thorin Mâcon-Villages	Terres de Craie	Chardonnay	Burgundy	FRA	Chardonnay		750:91	s,v		White flowers and honey; fine fruit-driven palate with chalky freshness and tension, part tank part barrel raised.
St Alma	2024	Briar Ridge	The Squire	Chardonnay	Hunter Valley	NSW	Chardonnay		750:79	r,v		Nectarine, peach and melon with ginger spice and cedary oak; creamy texture, generous yet energetic acidity.
St Alma	2024	Giant Steps	Sexton Vineyard	Chardonnay	Yarra Valley	VIC	Chardonnay		750:182	r,v		Nectarine and white peach with turmeric and curry-leaf spice; powerful yet graceful, butter and glacé pineapple.
St Alma	2024	Shaw & Smith	M3	Chardonnay	Adelaide Hills	SA	Chardonnay		750:132	r,v		White flowers, grapefruit and white peach; lemon pith and stone fruit with creamy barrel nuance and a mineral line.
St Alma	2017	Giaconda	Nantua Les Deux	Chardonnay	Beechworth	VIC	Chardonnay		750:215	r,v		Stone fruit and ripe lemon with cashew, ginger spice and sandalwood; broad and soft, long, with a clear acid line.
St Alma	2021	Tolpuddle		Chardonnay	Coal River	TAS	Chardonnay		750:285	r,v		Quince, candied lemon and grapefruit with gunflint and wet stone; white peach, cashew and cream over racy acidity.
St Alma	2024	Mon Tout	Heydays	Chardonnay	Margaret River	WA	Chardonnay		750:71	v		Honeysuckle, citrus blossom and stone fruit; silky generous peach and nectarine, lees texture, fine mineral acidity.
St Alma	2023	Domaine Thomson	Left Bank	Chardonnay	Central Otago	NZ	Chardonnay		750:150	v		Lime peel, pear and white flowers with hints of toast; rounded mouthfeel closing on white spice and nutty barrel notes.
St Alma	2024	Te Mata	Elston	Chardonnay	Hawke's Bay	NZ	Chardonnay		750:132	r,v		Crème brûlée, toasted sourdough, vanilla, grapefruit and yellow nectarine; rich and saline with hazelnut and flint.
St Alma	2024	R. Paulazzo		Pinot Noir	Riverina	NSW	Rosé		150:16|250:26|750:73			
St Alma	2025	Giant Steps		Pinot Noir	Yarra Valley	VIC	Rosé		750:81	s		Highly fragrant red berry perfume, silky free-run clarity; light-bodied and crisp, finishing dry and refreshing.
St Alma	NV	Domaine Gavoty Rosé	Cigale	Grenache	Vin de France	FRA	Rosé		150:18|250:29|750:83	s		Juicy red-fruited but savoury, saline and dry with good length and no confected sweetness.
St Alma	2024	AIX Rosé		Grenache Syrah Cinsault	Coteaux d'Aix-en-Provence	FRA	Rosé		750:91	s		Strawberry, raspberry and white peach with rose petal and citrus; light, silky and saline, bright, dry and unoaked.
St Alma	2024	Red Claw		Pinot Noir	Mornington Peninsula	VIC	Pinot Noir		150:19|250:31|750:86	v		Perfumed cherry and red fruits with light spice; long silky palate, velvety texture, fine integrated tannin.
St Alma	2022	Capa Single Vineyard		Tempranillo	Castilla La Mancha	ESP	Other reds	Light & juicy	150:16|250:26|750:73	r		Bramble fruit and black cherry with toasted oak, sweet spice and coffee; dry, full, firm ripe tannin.
St Alma	2022	Villa Albergotti Chianti Superiore		Sangiovese	Tuscany	ITA	Other reds	Medium-bodied & versatile	150:18|250:29|750:83	v		Sour cherry, blackberry and bitter almond; juicy and velvety with lively acidity and very soft tannin. Tank-aged.
St Alma	2024	Yangarra	Circle	Shiraz	McLaren Vale	SA	Shiraz		150:17|250:27|750:76	r,v		Boysenberry, dark cherry and blueberry with warm spice and floral lift; fine polished tannins, savoury older-oak edge.
St Alma	2022	BenMarco	Valle de Uco	Malbec	Mendoza	ARG	Other reds	Medium-bodied & versatile	150:21|250:33|750:93	r		Blackberry and blueberry with graphite and dark chocolate; black fruit and violets, marked acidity, firm tannins.
St Alma	2023	Bonnet & Cotton Beaujolais		Gamay	Beaujolais	FRA	Other reds	Light & juicy	150:29|250:41|750:130	s	som,chilled	Cherry and strawberry compote with floral lift and granite minerality; juicy, lively and thirst-quenching.
St Alma	2024	Vanguardist	Field	Grenache Shiraz Mourvèdre	Barossa Valley	SA	Other reds	Medium-bodied & versatile	150:25|250:37|750:100	v	som	Bright raspberry and darker fruit with spice and herbal perfume; sappy and fresh, fine slatey tannins.
St Alma	2022	Louis Jadot Bourgogne		Pinot Noir	Burgundy	FRA	Pinot Noir		150:36|250:58|750:142	v	som	Plum, raspberry and cherry with earth, mushroom and floral hints; supple red fruit, smooth tannin, balanced acidity.
St Alma	2022	Utopos		Shiraz	Barossa Valley	SA	Shiraz		150:39|250:61|750:152	r	som	Spice-led nose with black fruit, liquorice and eucalypt; dark cherry and chocolate, fine sandy tannin, fresh acidity.
St Alma	NV	All Saints Estate	Grand	Rutherglen Muscat	Rutherglen	VIC	Sweet & fortified		60:18|375:79		fortified	60 mL pour, 375 mL bottle.
St Alma	2021	Stéphane Brocard Gevrey-Chambertin		Pinot Noir	Burgundy	FRA	Pinot Noir		750:325	r		Red and black fruits with musk, leather and liquorice; powerful and rich with melted tannins and notable balance.
St Alma	2019	Domaine Bouchard Corton Grand Cru		Pinot Noir	Burgundy	FRA	Pinot Noir		750:555	r	ltd	Intense red and black fruit with spice and oak; powerful yet sleek, silky entry over serious tannin and structure.
St Alma	2023	Haddow & Dineen	Private Universe	Pinot Noir	Tamar Valley	TAS	Pinot Noir		750:137	r		Dark cherry, cranberry and rhubarb with whole-bunch spice; layered and supple, fine talcy tannin, long saline finish.
St Alma	2023	Shaw & Smith		Pinot Noir	Adelaide Hills	SA	Pinot Noir		750:132	r,v		Perfumed raspberry, wild strawberry and potpourri with cassia spice; blueberry and rhubarb, finely knit tannins.
St Alma	2023	Helen's Hill	The Smuggler	Pinot Noir	Yarra Valley	VIC	Pinot Noir		750:126	r,v		Dark cherry, wild strawberry and rose petal with forest floor; fine silky tannin and integrated French oak.
St Alma	2022	Novum		Pinot Noir	Marlborough	NZ	Pinot Noir		750:121	v		Wild strawberry, cherry, red plum and cranberry with dried herbs and gentle spice; silky, bright acidity, soft tannins.
St Alma	2024	Domaine Thomson	Explorer	Pinot Noir	Central Otago	NZ	Pinot Noir		750:89	v		Dried herb, thyme and clove over black and redcurrant and dark plum; succulent silky palate with supple structure.
St Alma	2020	Nielson		Pinot Noir	Santa Barbara	USA	Pinot Noir		750:116	r		Cranberry, pomegranate and Bing cherry with tobacco leaf, vanilla and cola spice; bright acidity, firm tannins.
St Alma	2023	Domaine du Trapadis	Esprit	Grenache	Southern Rhône	FRA	Other reds	Light & juicy	750:86	v		Redcurrant and raspberry with Mediterranean herbs and a mineral lift; supple layered palate finishing smooth and fresh.
St Alma	2021	Vandal Gonzo Combat Rouge			Marlborough	NZ	Other reds	Light & juicy	750:71	v		Whole-cluster co-ferment; supple raspberry and cherry with spice, best served lightly chilled.
St Alma	2024	A. Rodda		Tempranillo	Beechworth	VIC	Other reds	Medium-bodied & versatile	750:106	r		Cherry, morello with wild herbs and an earthy edge; crunchy acidity framed by firm, gently chewy tannins.
St Alma	2022	Mallaluka		Nero d'Avola	Gundagai	NSW	Other reds	Medium-bodied & versatile	750:76	r,v		Plum, cherry cola and dried herbs; whole-berry ferment, seasoned French puncheons, savoury and spicy.
St Alma	2023	Domaine du Trapadis Cairanne	Garrigues	Grenache	Southern Rhône	FRA	Other reds	Medium-bodied & versatile	750:109	v		Redcurrant, wild berry and fresh cherry with baking spice; medium-bodied, bright acidity, smooth silky finish.
St Alma	2023	Alain Jaume Châteauneuf du Pape		Grenache Shiraz Mourvèdre	Southern Rhône	FRA	Other reds	Medium-bodied & versatile	750:265	r		Black cherry, raspberry and spice with liquorice and pepper; soft tannins, part barrel aged, long finish.
St Alma	2022	Ramos Pinto Duas Quintas Tinto			Douro	POR	Other reds	Medium-bodied & versatile	750:96	r		Blackcurrant and cherry jam with violets and roast coffee; lively red fruit, spice and a long fresh finish.
St Alma	2019	Ca di Bruno Barbaresco		Nebbiolo	Piedmont	ITA	Other reds	Full-bodied & bold	750:152	r		Dried lemon, potpourri, mushroom and sour cherry; savoury and succulent with tightly knit tannins, silky dry finish.
St Alma	2006	Sandrone le Vigne Barolo		Nebbiolo	Piedmont	ITA	Other reds	Full-bodied & bold	750:660	r	ltd	Red flowers, small black berries and dried fruit; harmonious tannin carried by fresh acidity, built to age.
St Alma	2023	Edmeades		Zinfandel	Mendocino	USA	Other reds	Full-bodied & bold	750:121	r		Cinnamon and clove over blackberry and dried sage, with dark chocolate and orange zest; round, lush and dry.
St Alma	2002	Wendouree		Cabernet Sauvignon Malbec	Clare Valley	SA	Other reds	Full-bodied & bold	750:790	r	ltd	Open blackcurrant and juniper, no greenness; long, powerful and still youthfully firm with a faint grip on the close.
St Alma	2022	Jean-Luc Jamet Syrah	Valine	Syrah	Rhône Valley	FRA	Shiraz		750:190	r		Lifted violet, blue fruit, five spice and smoked bacon; silky and intense with real length and supple structure.
St Alma	2017	Geoff Merrill	Jacko's	Shiraz	McLaren Vale	SA	Shiraz		750:89	r		Chocolatey oak, vanilla and mocha over dense blackberry and licorice; ripe muscular palate with assertive tannins.
St Alma	2010	Paxton	Elizabeth Jean	Shiraz	McLaren Vale	SA	Shiraz		750:225	r	ltd	Dark raspberry and blackcurrant with violet, thyme and sandalwood; concentrated yet lifted, fine chalky tannins.
St Alma	2021	Smallfry	Vinevale Estate	Shiraz	Barossa Valley	SA	Shiraz		750:97	r		Dark plum, cigar box, cinnamon bark and juniper; sweet-fruited entry tightened by firm grainy tannin and fresh acidity.
St Alma	2022	Teusner	Big Jim	Shiraz	Barossa Valley	SA	Shiraz		750:125	r		Deeply coloured and concentrated; rich dark berry fruit, lifted spice and polished cedary oak over a fine structure.
St Alma	2017	Teusner	Righteous FG	Shiraz	Barossa Valley	SA	Shiraz		750:400	r	ltd	Satsuma plum, black cherry and cherry liqueur with smoky oak; densely concentrated and plush, tannin fine and supple.
St Alma	2017	Rockford Basket Press		Shiraz	Barossa Valley	SA	Shiraz		750:395	r		Fragrant red fruit with mint lift; blueberry, plum, dark chocolate and tobacco, layered drying tannins, velvety finish.
St Alma	2018	Rockford Basket Press		Shiraz	Barossa Valley	SA	Shiraz		750:475	r		Black tea and ripe damson leading to dark chocolate, cherry and blackcurrant; concentrated old-vine fruit, long finish.
St Alma	2022	La Violetta	Up!	Shiraz	Great Southern	WA	Shiraz		750:91	r		Red and black fruit turning savoury, with cured meat, game and dark spice; juicy texture, refined tannin, mineral finish.
St Alma	2016	Geoff Merrill Reserve		Cabernet Sauvignon	McLaren Vale	SA	Cabernet & Bordeaux blends		750:116	r		Blackcurrant, blackberry and cassis with cedar, dark chocolate, tobacco and dried herbs; concentrated, firm ripe tannins.
St Alma	2023	Utopos		Cabernet Sauvignon	Barossa Valley	SA	Cabernet & Bordeaux blends		750:152	r		Blackcurrant and eucalypt with crushed herb, licorice, cedar and cocoa; full palate, fine-grained long tannins.
St Alma	2021	Cannonball		Cabernet Sauvignon	Sonoma Valley	USA	Cabernet & Bordeaux blends		750:106	r		Berry compote, cassis, mocha and graphite leading to cherry and blackcurrant, with anise and dried herbs.
St Alma	2022	Briar Ridge	BDX	Cabernet blend	Hunter Valley	NSW	Cabernet & Bordeaux blends		750:83	r		Choc-mint, boysenberry, plum and red cherry with herb and tobacco; measured intensity, structural and built to age.
St Alma	1998	Yalumba	The Reserve	Cabernet Shiraz	Barossa Valley	SA	Cabernet & Bordeaux blends		750:400	r		Cassis elegance married to velvety Shiraz richness; cedar and smoky oak, concentrated dark fruit, mature supple tannins.
Alma Avalon	2024	Moments of Clarity		Riesling	Eden Valley	SA	White		150:16|250:26|750:73			
Alma Avalon	2024	Frogmore Creek		Riesling	Coal River	TAS	White		750:93			
Alma Avalon	2024	Gotas de Mar		Albariño	Rías Baixas	ESP	White		150:19|250:31|750:86			
Alma Avalon	2024	Catalina Sounds	Sound of White	Sauvignon Blanc	Marlborough	NZ	White		150:17|250:27|750:77			
Alma Avalon	2024	i Lauri	AVALOS	Pecorino	Abruzzo	ITA	White		750:81			
Alma Avalon	2023	Shut The Gate	For Freedom	Gewürztraminer	Clare Valley	SA	White		750:76			
Alma Avalon	2023	Greystone		Pinot Gris	Waipara	NZ	White		150:18|250:29|750:83			
Alma Avalon	2022	Stéphane Brocard Mâcon Villages		Chardonnay	Burgundy	FRA	White		150:26|250:41|750:111			
Alma Avalon	2024	Ingram Road		Chardonnay	Yarra Valley	VIC	White		150:16|250:26|750:73			
Alma Avalon	2023	Kendall Jackson	Vintner's Reserve	Chardonnay	Napa Valley	USA	White		750:106			
Alma Avalon	NV	Serenello Prosecco		Glera	Veneto	ITA	Bubbles		150:16|750:76			
Alma Avalon	NV	Laurent Perrier La Cuvée		Chardonnay Pinot Noir Pinot Meunier	Champagne	FRA	Bubbles		750:161			
Alma Avalon	2024	R. Paulazzo Rosé		Pinot Noir	Riverina	NSW	Rosé		150:16|250:26|750:73			
Alma Avalon	2024	La Belle Rosé	Colette	Shiraz Grenache Mourvèdre Cinsault	Provence	FRA	Rosé		150:18|250:29|750:83			
Alma Avalon	2025	El Desperado		Pinot Noir	Adelaide Hills	SA	Red		150:16|250:26|750:73			
Alma Avalon	2024	Domaine Thomson	Explorer	Pinot Noir	Central Otago	NZ	Red		750:89			
Alma Avalon	2023	Helen's Hill	The Smuggler	Pinot Noir	Yarra Valley	VIC	Red		750:126			
Alma Avalon	2022	Capa Single Vineyard		Tempranillo	Castilla La Mancha	ESP	Red		150:16|250:26|750:73			
Alma Avalon	2022	Villa Albergotti Chianti Superiore		Sangiovese	Tuscany	ITA	Red		150:18|250:29|750:83			
Alma Avalon	2023	Teusner	Avatar	Grenache Shiraz Mataro	Barossa Valley	SA	Red		750:96			
Alma Avalon	2022	BenMarco	Valle de Uco	Malbec	Mendoza	ARG	Red		150:21|250:33|750:93			
Alma Avalon	2017	Geoff Merrill	Jacko's	Shiraz	McLaren Vale	SA	Red		750:89			
Alma Avalon	2023	Teusner	Wark Family	Shiraz	Barossa Valley	SA	Red		150:17|250:27|750:77			
Alma Avalon	2021	Cannonball		Cabernet Sauvignon	Sonoma Valley	USA	Red		750:106			
